Scheme Name,Description,Eligibility Criteria,Benefits,Application Process,Application Link,Valid Until
Pradhan Mantri Jan Dhan Yojana (PMJDY),National Mission for Financial Inclusion to ensure access to financial services.,Indian citizens above 10 years of age.,"Zero balance bank account, RuPay debit card, and accidental insurance cover.",Apply through any bank branch or Business Correspondent.,https://pmjdy.gov.in/,Ongoing
Pradhan Mantri Ujjwala Yojana (PMUY),Provides LPG connections to women from BPL households.,Women from BPL households without an LPG connection.,Free LPG connection with financial assistance for stove and refill.,Apply through LPG distributors with required documents.,https://www.pmuy.gov.in/,Ongoing
Pradhan Mantri Awas Yojana (PMAY),Aims to provide affordable housing to the urban and rural poor.,"EWS, LIG, and MIG income groups.",Subsidized home loan interest rates under CLSS.,Apply online or at CSCs.,https://pmaymis.gov.in/,2025
Ayushman Bharat (PM-JAY),Health insurance scheme providing ₹5 lakh coverage per family.,Poor and vulnerable families based on SECC data.,Cashless treatment at empaneled hospitals.,"Automatic enrollment, verify on PM-JAY portal.",https://www.pmjay.gov.in/,Ongoing
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Income support to landholding farmer families.,All landholding farmer families.,"₹6,000/year in 3 equal installments.",Register through agriculture offices or online.,https://pmkisan.gov.in/,Ongoing
Stand-Up India Scheme,Bank loans for SC/ST and women entrepreneurs.,SC/ST and women entrepreneurs above 18 years.,Loans from ₹10 lakh to ₹1 crore.,Apply online or at bank branches.,https://www.standupmitra.in/,Ongoing
Pradhan Mantri Mudra Yojana (PMMY),"Loans to non-corporate, non-farm small/micro enterprises.","Small businesses, proprietorships, partnerships.","Loans under Shishu, Kishore, and Tarun categories.","Apply through banks, NBFCs, MFIs.",https://www.mudra.org.in/,Ongoing
Atal Pension Yojana (APY),Pension scheme for unorganized sector workers.,Citizens aged 18–40 not under other social security.,"Monthly pension ₹1,000 to ₹5,000 after 60.",Apply through banks/post offices.,https://www.npscra.nsdl.co.in/scheme-details.php,Ongoing
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Life insurance scheme offering ₹2 lakh coverage.,18–50 years with a bank account.,₹2 lakh life cover for ₹330/year.,Enroll through banks.,https://jansuraksha.gov.in/Forms-PMJJBY.aspx,Ongoing
Pradhan Mantri Suraksha Bima Yojana (PMSBY),Accidental insurance scheme with ₹2 lakh cover.,18–70 years with a bank account.,₹2 lakh accidental cover for ₹12/year.,Enroll through banks.,https://jansuraksha.gov.in/Forms-PMSBY.aspx,Ongoing
Sukanya Samriddhi Yojana,Savings scheme for girl child.,Parents of girl child under 10.,Attractive interest and tax benefits.,Open account at post offices/banks.,https://www.nsiindia.gov.in/InternalPage.aspx?Id_Pk=89,Ongoing
National Pension System (NPS),Voluntary retirement savings scheme.,Indian citizens aged 18–65.,Market-linked returns and tax benefits.,Register online or at PoPs.,https://www.npscra.nsdl.co.in/,Ongoing
Digital India Programme,Empowers society with digital tools and services.,All citizens and stakeholders.,Access to digital infrastructure and governance.,Refer to initiatives under the program.,https://www.digitalindia.gov.in/,Ongoing
Skill India Mission,Training over 40 crore people with various skills.,Indian youth.,Skill development and certification.,Enroll through training partners.,https://www.skillindia.gov.in/,Ongoing
Make in India,Promotes manufacturing and investments in India.,Investors and manufacturers.,Support in 25 sectors.,Apply via official portal.,https://www.makeinindia.com/,Ongoing
Swachh Bharat Mission,Eliminate open defecation and manage solid waste.,All citizens.,Toilets and waste management support.,Via local bodies and awareness.,https://swachhbharatmission.gov.in/,Ongoing
Pradhan Mantri Fasal Bima Yojana (PMFBY),Crop insurance scheme for farmers.,All farmers including tenants.,Coverage against crop loss.,"Apply via banks, CSCs, or online.",https://pmfby.gov.in/,Ongoing
Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),Skill training for rural youth.,Rural youth aged 15–35 from poor families.,Placement-linked skill training.,Apply through PIAs or online.,https://ddugky.gov.in/,Ongoing
MGNREGA,Guarantees 100 days of wage employment in rural areas.,Rural households willing to do manual work.,Wage employment and asset creation.,Apply via Gram Panchayats.,https://nrega.nic.in/,Ongoing
Beti Bachao Beti Padhao (BBBP),Promotes education and welfare of girl children.,Focus on districts with low child sex ratio.,Awareness and welfare services.,District-level action plans.,https://wcd.nic.in/bbbp-schemes,Ongoing
